"cod_ibge","nome","classe","subjacente","proc_grau","bens_industriais","source"
"2103005","2103005.Ferragens","nao_duravel_industrial",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"2103008","2103008.Material de eletricidade","nao_duravel_industrial",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"2103009","2103009.Material de pintura","nao_duravel_industrial",NA,NA,TRUE,"auto: item-prefix inheritance"
"2103012","2103012.Vidro","nao_duravel_industrial",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"2103014","2103014.Tinta","nao_duravel_industrial",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"2103031","2103031.Ferramentas","nao_duravel_industrial",NA,NA,TRUE,"auto: item-prefix inheritance"
"2103032","2103032.Revestimento de piso e parede","nao_duravel_industrial",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"2103038","2103038.Madeira e taco","nao_duravel_industrial",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"2103039","2103039.Cimento","nao_duravel_industrial",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"2103040","2103040.Tijolo","nao_duravel_industrial",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"2103041","2103041.Material hidráulico","nao_duravel_industrial",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"2103042","2103042.Mão de obra","servico",TRUE,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"2103048","2103048.Areia","nao_duravel_industrial",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"2103049","2103049.Pedras","nao_duravel_industrial",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"2103055","2103055.Telha","nao_duravel_industrial",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"2104002","2104002.Vassoura","nao_duravel_industrial",NA,NA,TRUE,"auto: item-prefix inheritance"
"2104003","2104003.Saco para lixo","nao_duravel_industrial",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"2104005","2104005.Água sanitária","nao_duravel_industrial",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"2104008","2104008.Detergente","nao_duravel_industrial",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"2104009","2104009.Sabão em pó","nao_duravel_industrial",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"2104012","2104012.Desinfetante","nao_duravel_industrial",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"2104013","2104013.Inseticida","nao_duravel_industrial",NA,NA,TRUE,"auto: item-prefix inheritance"
"2104014","2104014.Cera para assoalho","nao_duravel_industrial",NA,NA,TRUE,"auto: item-prefix inheritance"
"2104015","2104015.Sabão em barra","nao_duravel_industrial",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"2104016","2104016.Esponja de limpeza","nao_duravel_industrial",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"2104019","2104019.Sabão líquido","nao_duravel_industrial",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"2104020","2104020.Limpador multiuso","nao_duravel_industrial",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"2104032","2104032.Amaciante, alvejante","nao_duravel_industrial",NA,NA,TRUE,"auto: item-prefix inheritance"
"2104041","2104041.Papel toalha","nao_duravel_industrial",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"2104085","2104085.Amaciante e alvejante","nao_duravel_industrial",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"2201003","2201003.Carvão vegetal","nao_duravel_industrial",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"2201004","2201004.Gás de botijão","monitorado",NA,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"2201005","2201005.Gás encanado","monitorado",NA,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"2202003","2202003.Energia elétrica residencial","monitorado",NA,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"3101002","3101002.Móvel para sala","duravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"3101003","3101003.Móvel para quarto","duravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"3101015","3101015.Móvel para copa e cozinha","duravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"3101016","3101016.Móvel infantil","duravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"3101017","3101017.Colchão","duravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"3102001","3102001.Artigos de iluminação","duravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"3102005","3102005.Tapete","duravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"3102006","3102006.Cortina","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"3102007","3102007.Utensílios de metal","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"3102009","3102009.Utensílios de vidro e louça","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"3102010","3102010.Utensílios de plástico","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"3102035","3102035.Flores naturais","nao_duravel_industrial",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"3102040","3102040.Utensílios diversos","semiduravel",NA,NA,TRUE,"auto: item-prefix inheritance"
"3102337","3102337.Utensílios para bebê","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"3103001","3103001.Roupa de cama","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"3103003","3103003.Roupa de banho","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"3201001","3201001.Refrigerador","duravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"3201002","3201002.Ar-condicionado","duravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"3201003","3201003.Máquina de costura","duravel",NA,NA,TRUE,"auto: item-prefix inheritance"
"3201006","3201006.Máquina de lavar roupa","duravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"3201012","3201012.Liquidificador","duravel",NA,NA,TRUE,"auto: item-prefix inheritance"
"3201013","3201013.Ventilador","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"3201021","3201021.Fogão","duravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"3201027","3201027.Lâmpada","duravel",NA,NA,TRUE,"auto: item-prefix inheritance"
"3201050","3201050.Chuveiro elétrico","duravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"3201065","3201065.Forno de micro-ondas","duravel",NA,NA,TRUE,"auto: item-prefix inheritance"
"3202001","3202001.Televisor","duravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"3202003","3202003.Aparelho de som","duravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"3202005","3202005.Aparelho de DVD","duravel",NA,NA,TRUE,"auto: item-prefix inheritance"
"3202008","3202008.Videogame (console)","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"3202013","3202013.Antena","duravel",NA,NA,TRUE,"auto: item-prefix inheritance"
"3202028","3202028.Computador pessoal","duravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"3301002","3301002.Conserto de refrigerador","servico",TRUE,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"3301006","3301006.Conserto de televisor","servico",TRUE,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"3301009","3301009.Conserto de aparelho de som","servico",TRUE,NA,FALSE,"auto: item-prefix inheritance"
"3301015","3301015.Conserto de máquina de lavar roupa","servico",TRUE,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"3301022","3301022.Reforma de estofado","servico",TRUE,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"3301023","3301023.Conserto de bomba d'água","servico",TRUE,NA,FALSE,"auto: item-prefix inheritance"
"3301044","3301044.Manutenção de microcomputador","servico",TRUE,NA,FALSE,"auto: item-prefix inheritance"
"3301088","3301088.Conserto de aparelho celular","servico",TRUE,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"3301130","3301130.Conserto de bicicleta","servico",TRUE,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"4101002","4101002.Calça comprida masculina","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"4101004","4101004.Terno","semiduravel",NA,NA,TRUE,"auto: item-prefix inheritance"
"4101005","4101005.Agasalho masculino","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"4101006","4101006.Bermuda/short masculino","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"4101008","4101008.Cueca","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"4101009","4101009.Camisa/camiseta masculina","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"4102002","4102002.Calça comprida feminina","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"4102003","4102003.Agasalho feminino","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"4102004","4102004.Saia","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"4102005","4102005.Vestido","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"4102008","4102008.Blusa","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"4102010","4102010.Lingerie","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"4102012","4102012.Roupa de banho feminina","semiduravel",NA,NA,TRUE,"auto: item-prefix inheritance"
"4102013","4102013.Bermuda/short feminino","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"4103001","4103001.Uniforme escolar","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"4103002","4103002.Calça comprida infantil","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"4103005","4103005.Agasalho infantil","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"4103007","4103007.Vestido infantil","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"4103008","4103008.Bermuda/short infantil","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"4103011","4103011.Camisa/camiseta infantil","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"4103017","4103017.Fralda","semiduravel",NA,NA,TRUE,"auto: item-prefix inheritance"
"4103031","4103031.Conjunto infantil","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"4201002","4201002.Sapato masculino","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"4201003","4201003.Sapato feminino","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"4201004","4201004.Sapato infantil","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"4201006","4201006.Sandália / chinelo masculino","semiduravel",NA,NA,TRUE,"auto: item-prefix inheritance"
"4201007","4201007.Sandália / chinelo feminino","semiduravel",NA,NA,TRUE,"auto: item-prefix inheritance"
"4201008","4201008.Sandália / chinelo infantil","semiduravel",NA,NA,TRUE,"auto: item-prefix inheritance"
"4201015","4201015.Bolsa","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"4201040","4201040.Mochila","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"4201063","4201063.Tênis","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"4201098","4201098.Sandália/chinelo","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"4301001","4301001.Bijuteria","duravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"4301002","4301002.Joia","duravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"4301004","4301004.Relógio de pulso","duravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"4401001","4401001.Tecido","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"4401002","4401002.Artigos de armarinho","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"4401005","4401005.Acortinado (mosquiteiro)","semiduravel",NA,NA,TRUE,"auto: item-prefix inheritance"
"5101001","5101001.Ônibus urbano","monitorado",NA,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"5101002","5101002.Táxi","monitorado",NA,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"5101004","5101004.Trem","monitorado",NA,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"5101006","5101006.Ônibus intermunicipal","monitorado",NA,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"5101007","5101007.Ônibus interestadual","monitorado",NA,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"5101009","5101009.Ferry-boat","monitorado",NA,NA,FALSE,"auto: item-prefix inheritance"
"5101010","5101010.Passagem aérea","servico",FALSE,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"5101011","5101011.Metrô","monitorado",NA,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"5101022","5101022.Barco","monitorado",NA,NA,FALSE,"auto: item-prefix inheritance"
"5101026","5101026.Transporte escolar","servico",TRUE,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"5101051","5101051.Transporte por aplicativo","servico",FALSE,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"5101053","5101053.Integração transporte público","monitorado",NA,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"5102001","5102001.Automóvel novo","duravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"5102004","5102004.Emplacamento e licença","monitorado",NA,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"5102005","5102005.Seguro voluntário de veículo","servico",TRUE,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"5102006","5102006.Multa","monitorado",NA,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"5102007","5102007.Óleo lubrificante","nao_duravel_industrial",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"5102009","5102009.Acessórios e peças","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
"5102010","5102010.Pneu","semiduravel",NA,NA,TRUE,"BCB RI Dez/2019 Tab.5"
