date,series_id,value,release_date,vintage_date
2017-12-01,1,-0.058783,2026-07-17,2026-07-17
2018-01-01,1,0.544775,2026-07-17,2026-07-17
2018-02-01,1,0.453469,2026-07-17,2026-07-17
2018-03-01,1,0.226113,2026-07-17,2026-07-17
2018-04-01,1,0.397509,2026-07-17,2026-07-17
2018-05-01,1,0.415892,2026-07-17,2026-07-17
2018-06-01,1,0.159388,2026-07-17,2026-07-17
2018-07-01,1,0.006746,2026-07-17,2026-07-17
2018-08-01,1,0.055554,2026-07-17,2026-07-17
2018-09-01,1,0.116203,2026-07-17,2026-07-17
2018-10-01,1,0.176676,2026-07-17,2026-07-17
2018-11-01,1,-0.334935,2026-07-17,2026-07-17
2018-12-01,1,-0.319396,2026-07-17,2026-07-17
2019-01-01,1,0.19066,2026-07-17,2026-07-17
2019-02-01,1,0.422705,2026-07-17,2026-07-17
2019-03-01,1,0.564136,2026-07-17,2026-07-17
2019-04-01,1,0.5295,2026-07-17,2026-07-17
2019-05-01,1,0.212876,2026-07-17,2026-07-17
2019-06-01,1,0.019915,2026-07-17,2026-07-17
2019-07-01,1,0.167094,2026-07-17,2026-07-17
2019-08-01,1,-0.005067,2026-07-17,2026-07-17
2019-09-01,1,0.078345,2026-07-17,2026-07-17
2019-10-01,1,0.228619,2026-07-17,2026-07-17
2019-11-01,1,-0.053624,2026-07-17,2026-07-17
2019-12-01,1,-0.090977,2026-07-17,2026-07-17
2020-01-01,1,0.387977,2026-07-17,2026-07-17
2020-02-01,1,0.274062,2026-07-17,2026-07-17
2020-03-01,1,-0.217645,2026-07-17,2026-07-17
2020-04-01,1,-0.668694,2026-07-17,2026-07-17
2020-05-01,1,0.00195,2026-07-17,2026-07-17
2020-06-01,1,0.547205,2026-07-17,2026-07-17
2020-07-01,1,0.505824,2026-07-17,2026-07-17
2020-08-01,1,0.315321,2026-07-17,2026-07-17
2020-09-01,1,0.139275,2026-07-17,2026-07-17
2020-10-01,1,0.041494,2026-07-17,2026-07-17
2020-11-01,1,-0.061063,2026-07-17,2026-07-17
2020-12-01,1,0.094148,2026-07-17,2026-07-17
2021-01-01,1,0.425378,2026-07-17,2026-07-17
2021-02-01,1,0.547438,2026-07-17,2026-07-17
2021-03-01,1,0.708327,2026-07-17,2026-07-17
2021-04-01,1,0.821891,2026-07-17,2026-07-17
2021-05-01,1,0.801711,2026-07-17,2026-07-17
2021-06-01,1,0.929066,2026-07-17,2026-07-17
2021-07-01,1,0.481052,2026-07-17,2026-07-17
2021-08-01,1,0.206591,2026-07-17,2026-07-17
2021-09-01,1,0.271597,2026-07-17,2026-07-17
2021-10-01,1,0.830812,2026-07-17,2026-07-17
2021-11-01,1,0.491343,2026-07-17,2026-07-17
2021-12-01,1,0.307252,2026-07-17,2026-07-17
2022-01-01,1,0.841457,2026-07-17,2026-07-17
2022-02-01,1,0.913398,2026-07-17,2026-07-17
2022-03-01,1,1.335138,2026-07-17,2026-07-17
2022-04-01,1,0.558253,2026-07-17,2026-07-17
2022-05-01,1,1.102352,2026-07-17,2026-07-17
2022-06-01,1,1.373608,2026-07-17,2026-07-17
2022-07-01,1,-0.011812,2026-07-17,2026-07-17
2022-08-01,1,-0.03544,2026-07-17,2026-07-17
2022-09-01,1,0.215078,2026-07-17,2026-07-17
2022-10-01,1,0.405649,2026-07-17,2026-07-17
2022-11-01,1,-0.101003,2026-07-17,2026-07-17
2022-12-01,1,-0.307009,2026-07-17,2026-07-17
2023-01-01,1,0.799536,2026-07-17,2026-07-17
2023-02-01,1,0.558211,2026-07-17,2026-07-17
2023-03-01,1,0.331073,2026-07-17,2026-07-17
2023-04-01,1,0.505904,2026-07-17,2026-07-17
2023-05-01,1,0.251844,2026-07-17,2026-07-17
2023-06-01,1,0.322891,2026-07-17,2026-07-17
2023-07-01,1,0.190752,2026-07-17,2026-07-17
2023-08-01,1,0.436716,2026-07-17,2026-07-17
2023-09-01,1,0.248513,2026-07-17,2026-07-17
2023-10-01,1,-0.038338,2026-07-17,2026-07-17
2023-11-01,1,-0.201514,2026-07-17,2026-07-17
2023-12-01,1,-0.099332,2026-07-17,2026-07-17
2024-01-01,1,0.54475,2026-07-17,2026-07-17
2024-02-01,1,0.618967,2026-07-17,2026-07-17
2024-03-01,1,0.646417,2026-07-17,2026-07-17
2024-04-01,1,0.389329,2026-07-17,2026-07-17
2024-05-01,1,0.166163,2026-07-17,2026-07-17
2024-06-01,1,0.033751,2026-07-17,2026-07-17
2024-07-01,1,0.116177,2026-07-17,2026-07-17
2024-08-01,1,0.081389,2026-07-17,2026-07-17
2024-09-01,1,0.160421,2026-07-17,2026-07-17
2024-10-01,1,0.115128,2026-07-17,2026-07-17
2024-11-01,1,-0.054172,2026-07-17,2026-07-17
2024-12-01,1,0.0355,2026-07-17,2026-07-17
2025-01-01,1,0.654616,2026-07-17,2026-07-17
2025-02-01,1,0.44417,2026-07-17,2026-07-17
2025-03-01,1,0.224707,2026-07-17,2026-07-17
2025-04-01,1,0.311446,2026-07-17,2026-07-17
2025-05-01,1,0.208856,2026-07-17,2026-07-17
2025-06-01,1,0.340939,2026-07-17,2026-07-17
2025-07-01,1,0.150979,2026-07-17,2026-07-17
2025-08-01,1,0.287264,2026-07-17,2026-07-17
2025-09-01,1,0.25434,2026-07-17,2026-07-17
2025-11-01,1,-0.208744,2026-07-17,2026-07-17
2025-12-01,1,-0.02098,2026-07-17,2026-07-17
2026-01-01,1,0.369691,2026-07-17,2026-07-17
2026-02-01,1,0.471327,2026-07-17,2026-07-17
2026-03-01,1,1.049008,2026-07-17,2026-07-17
2026-04-01,1,0.850057,2026-07-17,2026-07-17
2026-05-01,1,0.631494,2026-07-17,2026-07-17
2026-06-01,1,-0.349424,2026-07-17,2026-07-17
2000-01-01,2,100.0,2026-07-17,2026-07-17
2000-02-01,2,100.592417,2026-07-17,2026-07-17
2000-03-01,2,101.421801,2026-07-17,2026-07-17
2000-04-01,2,101.481043,2026-07-17,2026-07-17
2000-05-01,2,101.599526,2026-07-17,2026-07-17
2000-06-01,2,102.132701,2026-07-17,2026-07-17
2000-07-01,2,102.369668,2026-07-17,2026-07-17
2000-08-01,2,102.369668,2026-07-17,2026-07-17
2000-09-01,2,102.902844,2026-07-17,2026-07-17
2000-10-01,2,103.080569,2026-07-17,2026-07-17
2000-11-01,2,103.13981,2026-07-17,2026-07-17
2000-12-01,2,103.080569,2026-07-17,2026-07-17
2001-01-01,2,103.732227,2026-07-17,2026-07-17
2001-02-01,2,104.146919,2026-07-17,2026-07-17
2001-03-01,2,104.383886,2026-07-17,2026-07-17
2001-04-01,2,104.798578,2026-07-17,2026-07-17
2001-05-01,2,105.272512,2026-07-17,2026-07-17
2001-06-01,2,105.450237,2026-07-17,2026-07-17
2001-07-01,2,105.154028,2026-07-17,2026-07-17
2001-08-01,2,105.154028,2026-07-17,2026-07-17
2001-09-01,2,105.627962,2026-07-17,2026-07-17
2001-10-01,2,105.272512,2026-07-17,2026-07-17
2001-11-01,2,105.094787,2026-07-17,2026-07-17
2001-12-01,2,104.680095,2026-07-17,2026-07-17
2002-01-01,2,104.917062,2026-07-17,2026-07-17
2002-02-01,2,105.331754,2026-07-17,2026-07-17
2002-03-01,2,105.924171,2026-07-17,2026-07-17
2002-04-01,2,106.516588,2026-07-17,2026-07-17
2002-05-01,2,106.516588,2026-07-17,2026-07-17
2002-06-01,2,106.575829,2026-07-17,2026-07-17
2002-07-01,2,106.694313,2026-07-17,2026-07-17
2002-08-01,2,107.049763,2026-07-17,2026-07-17
2002-09-01,2,107.227488,2026-07-17,2026-07-17
2002-10-01,2,107.405213,2026-07-17,2026-07-17
2002-11-01,2,107.405213,2026-07-17,2026-07-17
2002-12-01,2,107.168246,2026-07-17,2026-07-17
2003-01-01,2,107.64218,2026-07-17,2026-07-17
2003-02-01,2,108.471564,2026-07-17,2026-07-17
2003-03-01,2,109.123223,2026-07-17,2026-07-17
2003-04-01,2,108.886256,2026-07-17,2026-07-17
