series_id,country,subject,indicator,series_name,data_type,frequency,description,haver_code,bls_code
51,US,Prices,CPI,CPI-U: Food (Index),Weight,M,"CPI-U: Food - Weight (Relative Importance, Table 6 BLS)",,CPIUS:food
52,US,Prices,CPI,CPI-U: Food Away from Home (Index),NSA,M,CPI-U: Food Away from Home - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:food_away
53,US,Prices,CPI,CPI-U: Food Away from Home (Index),SA,M,CPI-U: Food Away from Home - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:food_away
54,US,Prices,CPI,CPI-U: Food Away from Home (Index),Weight,M,"CPI-U: Food Away from Home - Weight (Relative Importance, Table 6 BLS)",,CPIUS:food_away
55,US,Prices,CPI,CPI-U: Cereals and Bakery Products (Index),NSA,M,CPI-U: Cereals and Bakery Products - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:food_cereals_bakery
56,US,Prices,CPI,CPI-U: Cereals and Bakery Products (Index),SA,M,CPI-U: Cereals and Bakery Products - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:food_cereals_bakery
57,US,Prices,CPI,CPI-U: Cereals and Bakery Products (Index),Weight,M,"CPI-U: Cereals and Bakery Products - Weight (Relative Importance, Table 6 BLS)",,CPIUS:food_cereals_bakery
58,US,Prices,CPI,CPI-U: Dairy and Related Products (Index),NSA,M,CPI-U: Dairy and Related Products - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:food_dairy
59,US,Prices,CPI,CPI-U: Dairy and Related Products (Index),SA,M,CPI-U: Dairy and Related Products - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:food_dairy
60,US,Prices,CPI,CPI-U: Dairy and Related Products (Index),Weight,M,"CPI-U: Dairy and Related Products - Weight (Relative Importance, Table 6 BLS)",,CPIUS:food_dairy
61,US,Prices,CPI,CPI-U: Fruits and Vegetables (Index),NSA,M,CPI-U: Fruits and Vegetables - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:food_fruits_veg
62,US,Prices,CPI,CPI-U: Fruits and Vegetables (Index),SA,M,CPI-U: Fruits and Vegetables - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:food_fruits_veg
63,US,Prices,CPI,CPI-U: Fruits and Vegetables (Index),Weight,M,"CPI-U: Fruits and Vegetables - Weight (Relative Importance, Table 6 BLS)",,CPIUS:food_fruits_veg
64,US,Prices,CPI,CPI-U: Food at Home (Index),NSA,M,CPI-U: Food at Home - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:food_home
65,US,Prices,CPI,CPI-U: Food at Home (Index),SA,M,CPI-U: Food at Home - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:food_home
66,US,Prices,CPI,CPI-U: Food at Home (Index),Weight,M,"CPI-U: Food at Home - Weight (Relative Importance, Table 6 BLS)",,CPIUS:food_home
